Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Angola,2000,9129594970.15301,3.05462423430785,563.733795571487,418.018991534099,16.682,16194869.0
Angola,2005,36970900883.8109,15.0299999905513,1916.46842218625,42.3742492617284,16.36,19291161.0
Angola,2010,83799474069.7315,4.39837593810763,3597.34293216332,32.2704691224412,16.618,23294825.0
Angola,2015,90496420506.5957,0.943571561325001,3213.90261080059,-3.51838534598478,16.49,28157798.0
Angola,2020,48501561203.5686,-5.63821471714934,1449.92286669308,10.7631052824799,16.69,33451132.0
Benin,2000,3519991440.47913,5.85771420543269,487.424141384242,4.3410556635676,0.864,7221619.0
Benin,2005,6567654954.38903,1.71316456361184,779.437777753268,4.29366413526147,0.86,8426144.0
Benin,2010,9535345015.78355,2.11406472648392,973.244254931526,0.880885670477909,1.04,9797484.0
Benin,2015,11388160996.7738,1.77815106030278,1002.41886879614,0.85150426118021,1.82,11360681.0
Benin,2020,15686741893.5187,3.84879240030133,1200.19426631122,2.87803228859791,1.502,13070169.0
Botswana,2000,5788329609.15755,1.98769583378552,3450.81180622992,14.1709669143697,15.88,1677382.0
Botswana,2005,9918907108.09702,4.55664565323181,5391.07076619634,15.4717065693105,19.847,1839877.0
Botswana,2010,12637273429.1339,10.1197233309093,6215.73216077919,7.68549223641305,17.86,2033111.0
Botswana,2015,13530748844.505,-4.85132504617629,6141.20394726616,3.73030582585568,18.93,2203273.0
Botswana,2020,14960251610.8975,-8.72888241149465,6323.29749806946,4.37886680593209,21.017,2365894.0
Burkina Faso,2000,2968370087.59759,1.88847388906525,248.908526921752,-0.819773185220825,2.679,11925546.0
Burkina Faso,2005,6146353173.34929,8.66187322841225,441.164148016012,3.73938539728054,4.0,13932123.0
Burkina Faso,2010,10109619740.6994,8.44628157707625,624.957252224766,3.77961872815705,3.723,16176498.0
Burkina Faso,2015,11832159315.6298,3.9212287937935,630.124750752312,-2.22395417919314,4.461,18777487.0
Burkina Faso,2020,17725010532.5268,2.01077262406221,825.237038782475,6.46559578788029,5.04,21478690.0
Burundi,2000,870486065.883137,-0.856864058424151,134.537861752389,38.9448932030909,3.129,6470194.0
Burundi,2005,1117113079.73645,0.900000000901912,147.234619294225,18.8415894769233,3.153,7587299.0
Burundi,2010,2032135192.01248,5.12415999439806,216.727705301976,8.56155516425477,1.616,9376444.0
Burundi,2015,3104003546.26497,-3.9000000804855,280.966831311923,21.3187470230149,1.442,11047580.0
Burundi,2020,2649680261.44299,0.327156892638385,210.008139902508,5.9665023314011,1.03,12617036.0
Cabo Verde,2000,539227277.626411,14.2848688450919,1189.51479345891,-7.90110347163402,13.088,453317.0
Cabo Verde,2005,972241676.907662,6.91245795720201,2004.14680417563,-1.79488316970148,13.45,485115.0
Cabo Verde,2010,1824751467.92957,1.83641914989978,3579.46006137809,0.654415406092099,10.67,509784.0
Cabo Verde,2015,1749857620.35329,0.936026507808833,3415.06266730931,1.62040755881043,11.907,512394.0
Cabo Verde,2020,1821565613.68613,-20.8052758990735,3539.22661248299,0.366160426431094,14.69,514679.0
Cameroon,2000,10566579294.9831,3.83241779430614,708.565731625965,1.53156295867964,7.536,14912631.0
Cameroon,2005,19509852206.9341,2.22827020924117,1142.62466252106,1.35714195904053,4.4,17074594.0
Cameroon,2010,27507501821.0296,2.89902472122014,1398.58702025047,0.688187082777645,4.11,19668066.0
