Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.98002515350979,10.3127783574683,3.96138889115385,6.58215429284779,5.40516207933392
Kenya,KEN,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,13.81,..,..,..
Kenya,KEN,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,9.313,..,..,..
Kenya,KEN,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,9.094,..,..,..
Kenya,KEN,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,7.315,..,..,..
Kenya,KEN,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,9.08,..,..,..
Kenya,KEN,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,9.501,..,..,..
Kenya,KEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,9.957,..,..,..
Kenya,KEN,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,12.341,..,..,..
Kenya,KEN,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,16.344,..,..,..
Kenya,KEN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.07,2.926,2.978,2.945,6.652
Kenya,KEN,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,9.738,..,..,..
Kenya,KEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.889,2.745,2.796,2.762,5.619
Kenya,KEN,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,10.133,..,..,..
Kenya,KEN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,2.713,2.573,2.623,2.591,4.707
Kenya,KEN,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,9.809,..,..,..
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,4982850662.20851,10744568381.4456,32197655566.5347,49436806230.4839,70008243859.8666
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,253.746936203344,478.611909191028,1263.89251760539,1722.77282833606,2195.45481659987
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.70000008164408,5.90000381855104,7.89971194051621,2.12075933817334,0.513941670628171
Ghana,GHA,Rural population,SP.RUR.TOTL,11010711,11829058,12555861,13175513,13600469
Ghana,GHA,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.1925097526124,1.34424036174308,1.05876666387637,0.864864544933399,0.497793343265344
Ghana,GHA,"Population, total",SP.POP.TOTL,19637087,22449438,25474995,28696068,31887809
Ghana,GHA,Urban population,SP.URB.TOTL,8626376,10620380,12919134,15520555,18287340
Ghana,GHA,Urban population growth (annual %),SP.URB.GROW,4.22290349838167,4.06628987768918,3.78696347210332,3.54801379329855,3.11759647032636
